convert_to_int_format
  Numor         H         K         L   Intensity  sIntensity     Theta       Phi        Chi       Omega   Temp
  93906   0.50000   0.00000   0.00000   630.65000     2.52000   7.91000   8.05000   -6.48000   108.71000  1.88A
  93914  -1.50000   7.00000   1.00000   442.90000     4.47000  36.56000  36.62000  -24.83000   -36.64000  1.80A
  93915  -1.50000   6.00000   1.00000     0.61000     1.20000  34.85000  34.90000  -25.61000   -40.89000  1.80A
  93916  -1.50000   5.00000   1.00000   409.75000     4.42000  33.33000  33.37000  -26.30000   -45.55000  1.81A
  93918  -1.50000   3.00000   1.00000   425.87000     5.40000  31.11000  31.16000  -27.31000   -56.06000  1.80A
  93920  -1.50000   1.00000   1.00000   427.55000     7.45000  29.96000  30.01000  -27.49000   -67.76000  1.79A
  93922  -1.50000  -1.00000   1.00000   408.39000     7.60000  29.96000  30.01000  -26.65000   -79.79000  1.80A
  93924  -1.50000  -3.00000   1.00000   415.27000     4.89000  31.10000  31.14000  -24.90000   -91.16000  1.80A
  93925  -1.50000  -4.00000   1.00000     4.13000     1.78000  31.92000  31.84000  -23.79000   -96.35000  1.80A
