copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   13.17  237.96644  24.17203  234.47930  24.02300  472.44574    3.48714
   13.22  233.84868  23.95665  242.12220  24.34100  475.97088   -8.27352
   13.27  239.57664  23.63496  238.08360  23.57800  477.66024    1.49304
   13.32  240.37324  23.27072  238.37260  23.19300  478.74584    2.00064
   13.37  232.84408  23.24525  239.34670  23.54200  472.19078   -6.50262
   13.42  243.75884  23.72628  237.71940  23.47100  481.47824    6.03944
   13.47  244.88835  24.38837  238.81970  24.12500  483.70805    6.06865
   13.52  238.35565  22.73557  235.58520  22.62600  473.94085    2.77045
   13.57  239.43026  23.45765  235.42980  23.29100  474.86006    4.00046
   13.62  238.02716  23.19227  235.26000  23.08000  473.28716    2.76716
   13.67  237.73730  23.49512  237.99970  23.51500  475.73700   -0.26240
   13.72  239.10145  22.99689  234.82390  22.82100  473.92535    4.27755
   13.77  237.69986  23.69458  237.53860  23.69600  475.23846    0.16126
   13.82  239.03870  22.79653  237.25000  22.72800  476.28870    1.78870
   13.87  234.60410  23.36221  232.59670  23.28100  467.20080    2.00740
   13.92  235.60870  22.81976  235.40220  22.82000  471.01090    0.20650
   13.97  229.23883  23.33075  234.86400  23.59400  464.10283   -5.62517
   14.02  237.57246  22.99911  237.61640  23.01000  475.18886   -0.04394
   14.07  235.34777  23.04974  237.63050  23.15800  472.97827   -2.28273
   14.12  237.50140  22.99913  239.38550  23.08900  476.88690   -1.88410
   14.17  237.38182  23.03591  236.48040  23.00500  473.86222    0.90142
   14.22  235.93971  23.02179  233.68940  22.93200  469.62911    2.25031
   14.27  231.53069  22.97274  236.39500  23.19600  467.92569   -4.86431
   14.32  237.03615  23.13884  235.04160  23.06000  472.07775    1.99455
   14.37  232.31855  22.90936  233.18770  22.95700  465.50625   -0.86915
   14.42  235.45734  22.64455  234.25550  22.60100  469.71284    1.20184
   14.47  236.75686  23.21980  233.43410  23.08200  470.19096    3.32276
   14.52  234.96634  22.75193  236.84200  22.84200  471.80834   -1.87566
   14.57  235.90545  23.32423  235.64110  23.32200  471.54655    0.26435
   14.62  234.86005  22.73089  236.00090  22.78900  470.86095   -1.14085
   14.67  235.45859  22.94199  233.08130  22.84700  468.53989    2.37729
   14.72  237.58163  23.10730  236.55660  23.07100  474.13823    1.02503
   14.77  230.64126  22.94052  238.71560  23.30500  469.35686   -8.07434
   14.82  232.79728  22.62303  232.58470  22.62200  465.38198    0.21258
   14.87  235.73104  23.01394  234.58850  22.97300  470.31954    1.14254
   14.92  231.44447  22.58333  234.33100  22.71700  465.77547   -2.88653
   14.97  235.69043  23.07573  234.62860  23.03800  470.31903    1.06183
   15.02  231.63639  23.22758  234.45520  23.36300  466.09159   -2.81881
   15.07  233.63743  23.27628  232.51020  23.23400  466.14763    1.12723
   15.12  232.66727  22.82682  234.53300  22.91700  467.20027   -1.86573
   15.17  237.56389  23.03156  235.66140  22.95800  473.22529    1.90249
   15.22  232.69173  22.54040  233.71290  22.59300  466.40463   -1.02117
   15.27  233.58665  22.64960  236.89570  22.80100  470.48235   -3.30905
   15.32  238.59037  23.37883  233.76270  23.17500  472.35307    4.82767
   15.37  239.39535  23.34198  233.18710  23.07800  472.58245    6.20825
   15.42  235.38682  22.92162  236.63810  22.98400  472.02492   -1.25128
   15.47  235.24094  22.63597  235.73150  22.66600  470.97244   -0.49056
   15.52  239.42552  23.18360  237.33510  23.10200  476.76062    2.09042
   15.57  237.01225  23.31897  240.45980  23.47900  477.47205   -3.44755
   15.62  236.43641  22.89424  236.75150  22.91700  473.18791   -0.31509
   15.67  237.95884  23.28549  238.18130  23.30400  476.14014   -0.22246
   15.72  238.31085  19.60527  239.74970  19.66500  478.06055   -1.43885
   15.77  236.57377  22.25715  239.53460  22.39000  476.10837   -2.96083
   15.82  246.81979  36.12335  243.72600  35.93300  490.54579    3.09379
   15.87  239.22047  35.50966  237.26170  35.39300  476.48217    1.95877
   15.92  239.22759  22.56542  235.70350  22.42500  474.93109    3.52409
   15.97  235.41084  19.49682  242.54910  19.76700  477.95994   -7.13826
   16.02  235.70154  23.11565  238.11820  23.23000  473.81974   -2.41666
   16.07  241.51646  23.29510  235.84490  23.05800  477.36136    5.67156
   16.12  238.63742  23.47759  238.84820  23.49600  477.48562   -0.21078
   16.17  236.46197  23.10803  236.12950  23.10200  472.59147    0.33247
   16.22  237.83355  23.44006  237.06590  23.41600  474.89945    0.76765
   16.27  239.08660  23.17891  240.58310  23.25200  479.66970   -1.49650
   16.32  241.75340  23.91548  241.36060  23.90700  483.11400    0.39280
   16.37  238.71028  23.60536  235.68440  23.48100  474.39468    3.02588
   16.42  239.24497  24.83414  242.12520  24.97600  481.37017   -2.88023
   16.47  241.43266  23.35753  242.92450  23.43000  484.35716   -1.49184
   16.52  240.63386  22.53243  239.36810  22.48700  480.00196    1.26576
   16.57  240.99933  23.14777  243.78010  23.27600  484.77943   -2.78077
   16.62  241.15114  23.49905  239.76420  23.44800  480.91534    1.38694
   16.67  245.65006  24.08816  243.17010  23.98800  488.82016    2.47996
   16.72  239.27867  23.15406  241.92680  23.27700  481.20547   -2.64813
   16.77  240.58504  23.32624  243.27300  23.45100  483.85804   -2.68796
   16.82  247.46791  23.56829  245.39510  23.48900  492.86301    2.07281
   16.87  244.25130  23.74235  242.94350  23.69500  487.19480    1.30780
   16.92  241.24522  23.05993  249.91990  23.43600  491.16512   -8.67468
   16.97  244.89061  23.69546  242.99210  23.62200  487.88271    1.89851
   17.02  241.32642  23.36136  239.65840  23.29800  480.98482    1.66802
   17.07  239.95203  23.22255  235.87090  23.05400  475.82293    4.08113
   17.12  240.58744  23.04800  235.11680  22.82100  475.70424    5.47064
   17.17  237.68063  23.07363  236.77100  23.04300  474.45163    0.90963
   17.22  237.98151  23.35535  232.88650  23.14000  470.86801    5.09501
   17.27  231.60375  23.13758  236.80590  23.37800  468.40965   -5.20215
   17.32  236.43615  21.53978  228.52310  21.22300  464.95925    7.91305
   17.37  232.58680  22.40259  231.93460  22.38300  464.52140    0.65220
