copy_to_clipboard 2Theta I_sum I_diff

  2Theta     I_plus   sI_plus    I_minus  sI_minus      I_sum     I_diff
   27.82  227.48091  22.12803  228.92490  22.19900  456.40581   -1.44399
   27.87  222.60185  22.26676  227.54290  22.49600  450.14475   -4.94105
   27.92  226.57752  22.55686  225.14940  22.50100  451.72692    1.42812
   27.97  225.80232  22.18885  229.09470  22.34100  454.89702   -3.29238
   28.02  224.31537  22.37080  223.78520  22.35600  448.10057    0.53017
   28.07  224.15887  22.37836  230.45370  22.66600  454.61257   -6.29483
   28.12  226.47906  22.41157  224.35860  22.32500  450.83766    2.12046
   28.17  222.56592  22.24191  223.15670  22.27700  445.72262   -0.59078
   28.22  226.25045  22.46289  224.24980  22.38200  450.50025    2.00065
   28.27  225.03119  22.35437  224.07640  22.32000  449.10759    0.95479
   28.32  223.45704  22.28349  223.41270  22.29000  446.86974    0.04434
   28.37  224.52289  22.50184  225.39210  22.55000  449.91499   -0.86921
   28.42  226.10870  22.25137  228.61600  22.37000  454.72469   -2.50730
   28.47  224.51029  22.33966  229.83910  22.58400  454.34939   -5.32881
   28.52  222.07471  22.48659  225.52640  22.65000  447.60111   -3.45169
   28.57  222.58995  22.49247  225.15890  22.61700  447.74885   -2.56895
   28.62  221.50553  22.30103  225.30360  22.47900  446.80913   -3.79807
   28.67  222.75289  22.22316  228.43850  22.48300  451.19139   -5.68561
   28.72  223.72003  22.57286  225.48920  22.66100  449.20923   -1.76917
   28.77  225.95062  22.44482  224.32550  22.38100  450.27612    1.62512
   28.82  223.93567  22.60248  227.83940  22.78700  451.77507   -3.90373
   28.87  228.40799  22.46923  222.78660  22.22800  451.19459    5.62139
   28.92  220.78246  22.53540  223.77200  22.67900  444.55446   -2.98954
   28.97  219.77308  22.17550  226.52030  22.48600  446.29338   -6.74722
   29.02  226.58863  23.14526  224.27870  23.04800  450.86733    2.30993
   29.07  223.22022  22.57355  226.03980  22.70900  449.26002   -2.81958
   29.12  222.34993  22.39645  220.47130  22.32000  442.82123    1.87863
   29.17  223.48216  23.42181  227.52250  23.61900  451.00466   -4.04034
   29.22  220.43762  22.86304  229.87480  23.30500  450.31242   -9.43718
   29.27  224.48450  22.42866  221.63370  22.30900  446.11820    2.85080
   29.32  220.49358  22.05804  228.09390  22.40300  448.58748   -7.60032
   29.37  224.87578  23.21115  219.64140  22.97700  444.51718    5.23438
   29.42  226.87061  22.25173  224.05950  22.13600  450.93011    2.81111
   29.47  223.42024  22.78403  224.11610  22.82400  447.53634   -0.69586
   29.52  222.47948  22.68647  225.37180  22.82700  447.85128   -2.89232
   29.57  221.16295  22.10272  224.31240  22.25100  445.47535   -3.14945
   29.62  222.41526  22.46103  223.69360  22.52700  446.10886   -1.27834
   29.67  227.63883  22.51908  223.36480  22.33700  451.00363    4.27403
   29.72  222.45957  22.48335  228.32650  22.75400  450.78607   -5.86693
   29.77  227.86072  23.00961  229.75840  23.10400  457.61912   -1.89768
   29.82  226.64134  22.01076  229.20630  22.13000  455.84764   -2.56496
   29.87  228.63433  22.38737  227.35220  22.34000  455.98653    1.28213
   29.92  225.38683  22.35043  228.23150  22.48500  453.61833   -2.84467
   29.97  222.56714  23.09816  227.57640  23.33900  450.14354   -5.00926
   30.02  228.56136  22.42869  229.44220  22.47500  458.00356   -0.88084
   30.07  228.27313  22.33512  225.54380  22.22400  453.81693    2.72933
   30.12  224.20790  22.43020  228.63120  22.63600  452.83910   -4.42330
   30.17  224.53155  22.09063  222.60080  22.01400  447.13235    1.93075
   30.22  224.61125  22.07995  223.14200  22.02400  447.75325    1.46925
   30.27  220.91025  21.10774  223.65100  21.23200  444.56125   -2.74075
   30.32  225.35757  22.73272  225.05100  22.72800  450.40857    0.30657
   30.37  220.05928  22.52121  219.95990  22.52500  440.01918    0.09938
   30.42  241.18765  26.42502  239.17370  26.33600  480.36135    2.01395
   30.47  244.88255  27.42097  240.83220  27.22800  485.71475    4.05035
   30.52  224.82053  20.77325  221.18260  20.63000  446.00313    3.63793
   30.57  222.06722  21.24678  222.68150  21.28100  444.74872   -0.61428
   30.62  225.05345  22.23412  224.58610  22.22200  449.63955    0.46735
   30.67  227.35257  22.09889  225.08220  22.00800  452.43477    2.27037
   30.72  226.90103  22.56963  226.38480  22.55600  453.28583    0.51623
   30.77  228.55568  21.94852  224.47300  21.78000  453.02868    4.08268
   30.82  228.75649  22.09724  230.72450  22.19100  459.48099   -1.96801
   30.87  228.57869  22.76836  228.41150  22.76900  456.99019    0.16719
   30.92  231.55471  22.64443  230.55450  22.60900  462.10921    1.00021
   30.97  228.59905  22.17385  229.62510  22.22800  458.22415   -1.02605
   31.02  226.17557  22.96857  227.15660  23.02200  453.33217   -0.98103
   31.07  229.97691  21.99767  228.15450  21.92800  458.13141    1.82241
   31.12  231.76642  23.15602  226.06630  22.90800  457.83272    5.70012
   31.17  228.89766  22.36777  233.98050  22.59700  462.87816   -5.08284
   31.22  228.90242  21.78552  230.38470  21.85700  459.28712   -1.48228
   31.27  229.95786  21.82950  231.14260  21.88800  461.10046   -1.18474
   31.32  231.84620  22.86116  230.38350  22.80400  462.22970    1.46270
   31.37  233.18581  23.04749  231.78030  22.99400  464.96611    1.40551
   31.42  234.61309  22.86282  231.74640  22.74600  466.35949    2.86669
   31.47  232.25860  22.40143  233.94810  22.48300  466.20670   -1.68950
   31.52  228.91835  22.70490  231.50760  22.82700  460.42595   -2.58925
   31.57  229.63207  21.99035  227.31990  21.89900  456.95197    2.31217
   31.62  227.08552  22.59932  230.65890  22.76700  457.74442   -3.57338
   31.67  231.06202  22.56991  226.48790  22.37700  457.54992    4.57412
   31.72  227.32658  22.16481  228.20990  22.21200  455.53647   -0.88332
   31.77  228.43484  22.55221  229.35970  22.60100  457.79454   -0.92486
   31.82  227.34560  22.70309  236.28030  23.10600  463.62590   -8.93470
   31.87  228.80660  22.10971  229.80880  22.16200  458.61540   -1.00220
   31.92  219.79816  22.96037  229.11680  23.40000  448.91496   -9.31864
   31.97  224.67533  21.54050  231.77720  21.85000  456.45253   -7.10187
   32.02  228.27143  22.99965  227.49350  22.97300  455.76493    0.77793
   32.07  223.70259  22.22321  223.82200  22.23700  447.52459   -0.11941
   32.12  224.58097  22.33790  227.03700  22.45600  451.61797   -2.45603
   32.17  222.45560  21.96056  223.83260  22.03000  446.28820   -1.37700
   32.22  227.47512  23.78008  219.01600  23.39000  446.49112    8.45912
   32.27  220.35172  21.98241  218.85140  21.92400  439.20312    1.50032
   32.32  222.24350  22.39907  223.31630  22.45600  445.55980   -1.07280
   32.37  224.42719  22.99865  222.05420  22.89800  446.48139    2.37299
   32.42  216.43233  22.50321  214.88830  22.44000  431.32063    1.54403
   32.47  217.39765  22.36674  221.06080  22.54300  438.45845   -3.66315
   32.52  222.24540  22.07022  221.15360  22.02900  443.39900    1.09180
   32.57  219.60866  22.90226  218.13450  22.84200  437.74316    1.47416
   32.62  218.54381  21.66615  218.88420  21.69000  437.42801   -0.34039
   32.67  216.39474  22.16438  217.45510  22.22100  433.84984   -1.06036
   32.72  219.96018  21.86833  218.01930  21.79100  437.97948    1.94088
   32.77  221.83021  22.45075  214.08830  22.10600  435.91851    7.74191
   32.82  215.81939  21.61621  216.29960  21.64600  432.11899   -0.48021
   32.87  215.58121  22.02042  214.01900  21.95700  429.60021    1.56221
   32.92  218.36625  21.76083  217.01190  21.70800  435.37815    1.35435
   32.97  216.89997  22.20034  214.29370  22.08900  431.19367    2.60627
   33.02  217.65198  21.70688  212.49270  21.48300  430.14468    5.15928
   33.07  216.28643  22.01228  214.61710  21.94500  430.90353    1.66933
   33.12  220.11037  22.02928  211.86380  21.66500  431.97417    8.24657
   33.17  207.03503  21.71795  215.40900  22.11400  422.44403   -8.37397
   33.22  208.98286  21.14785  213.52030  21.36000  422.50316   -4.53744
   33.27  212.51036  21.88952  214.90420  22.00800  427.41456   -2.39384
   33.32  210.49965  21.50035  215.27430  21.72500  425.77395   -4.77465
   33.37  212.20656  21.65779  213.38220  21.72000  425.58876   -1.17564
   33.42  212.11475  21.62094  212.31080  21.63800  424.42555   -0.19605
   33.47  212.98135  21.88344  210.74240  21.78800  423.72375    2.23895
   33.52  210.96892  21.33815  213.66660  21.46700  424.63552   -2.69768
   33.57  213.99107  21.80974  211.74660  21.71600  425.73766    2.24447
   33.62  209.35902  21.36162  212.04460  21.49200  421.40362   -2.68558
   33.67  212.78144  21.86949  211.50080  21.81900  424.28224    1.28064
   33.72  214.34460  21.52486  210.51630  21.36100  424.86090    3.82830
   33.77  213.96184  21.78135  211.72610  21.68800  425.68794    2.23574
   33.82  213.64098  21.75966  211.05140  21.65000  424.69238    2.58958
   33.87  212.49232  21.68579  209.92100  21.57600  422.41332    2.57132
   33.92  210.38292  21.40782  210.25420  21.41000  420.63712    0.12872
   33.97  210.75730  21.60428  213.84090  21.75400  424.59820   -3.08360
   34.02  211.65290  21.43760  213.36900  21.52400  425.02190   -1.71610
   34.07  209.88435  21.53846  209.39610  21.52400  419.28045    0.48825
   34.12  210.85730  21.53458  212.42590  21.61400  423.28320   -1.56860
   34.17  209.57581  21.59123  211.35470  21.68100  420.93051   -1.77889
   34.22  209.36391  21.41732  214.46470  21.65700  423.82861   -5.10079
   34.27  208.01921  21.50798  212.57300  21.72600  420.59221   -4.55379
   34.32  208.61827  21.19168  210.82540  21.30000  419.44367   -2.20713
   34.37  212.07849  21.56002  208.97240  21.42600  421.05089    3.10609
   34.42  209.68223  21.52960  211.12560  21.60400  420.80783   -1.44337
   34.47  211.38620  21.66797  211.02590  21.66000  422.41210    0.36030
   34.52  209.69076  21.33344  208.90880  21.30600  418.59956    0.78196
   34.57  210.53516  21.58001  207.08360  21.42900  417.61876    3.45156
   34.62  205.43094  21.64102  209.38860  21.83500  414.81954   -3.95766
   34.67  209.61139  21.20926  209.26530  21.20200  418.87669    0.34609
   34.72  215.30863  22.01703  212.60520  21.90100  427.91383    2.70343
   34.77  206.51847  21.18807  211.41620  21.41900  417.93467   -4.89773
   34.82  209.70230  21.51411  205.53030  21.32900  415.23260    4.17200
   34.87  208.63771  21.40591  212.41960  21.58700  421.05731   -3.78189
   34.92  206.65034  21.53092  209.33440  21.66400  415.98474   -2.68406
   34.97  207.50418  21.39298  211.03440  21.56300  418.53858   -3.53022
   35.02  206.12745  21.34811  211.76980  21.61600  417.89725   -5.64235
   35.07  209.50720  21.48218  204.81000  21.27300  414.31720    4.69720
   35.12  211.35392  21.66003  206.44250  21.44200  417.79642    4.91142
   35.17  212.39745  21.48236  206.10640  21.20300  418.50385    6.29105
   35.22  208.87783  21.62788  210.39950  21.70600  419.27733   -1.52167
   35.27  206.73018  21.29028  212.63050  21.56800  419.36068   -5.90032
   35.32  206.53497  21.16738  206.73380  21.18400  413.26877   -0.19883
   35.37  211.48011  21.24825  208.93200  21.14200  420.41211    2.54811
   35.42  205.21955  20.96866  207.95330  21.10100  413.17285   -2.73375
   35.47  210.36727  20.45162  205.23370  20.23500  415.60097    5.13357
   35.52  206.94646  21.64804  208.76990  21.74100  415.71636   -1.82344
   35.57  205.86234  22.06874  201.22610  21.85400  407.08844    4.63624
   35.62  211.37544  30.36229  209.97300  30.28300  421.34844    1.40244
   35.67  211.25090  30.74270  212.01020  30.80400  423.26110   -0.75930
   35.72  208.72688  19.10686  208.80510  19.11700  417.53198   -0.07822
   35.77  209.27858  20.67050  208.38890  20.63900  417.66748    0.88968
   35.82  209.20553  20.90481  206.98070  20.81300  416.18623    2.22483
   35.87  208.81280  21.58848  203.09250  21.33000  411.90530    5.72030
   35.92  204.70570  20.83668  207.14050  20.95600  411.84620   -2.43480
   35.97  208.70029  21.34772  211.65140  21.49000  420.35169   -2.95111
   36.02  207.52447  21.48715  210.46040  21.63100  417.98487   -2.93593
   36.07  209.11422  21.76660  206.71590  21.66300  415.83012    2.39832
   36.12  207.87431  21.03729  209.89960  21.13700  417.77391   -2.02529
   36.17  207.88864  21.12883  209.33360  21.20200  417.22224   -1.44496
   36.22  207.82402  21.59778  208.08030  21.61800  415.90432   -0.25628
   36.27  204.22756  21.25003  205.36630  21.31100  409.59386   -1.13874
   36.32  207.27039  21.46010  205.11650  21.36900  412.38689    2.15389
   36.37  208.25689  21.31342  203.66420  21.11000  411.92109    4.59269
   36.42  205.03026  21.38852  203.96940  21.34600  408.99966    1.06086
   36.47  207.63659  21.36820  207.22240  21.35700  414.85899    0.41419
   36.52  208.26961  21.35004  207.09980  21.30400  415.36941    1.16981
   36.57  201.44115  20.95495  205.76340  21.16300  407.20455   -4.32225
   36.62  208.32863  21.67418  209.28130  21.72700  417.60993   -0.95267
   36.67  203.70228  21.70470  210.34060  22.02600  414.04288   -6.63832
   36.72  206.91156  21.13458  208.44210  21.21300  415.35366   -1.53054
   36.77  207.17111  21.20998  208.21640  21.26600  415.38751   -1.04529
   36.82  207.61369  21.47064  208.68560  21.52900  416.29929   -1.07191
   36.87  199.91788  21.10328  203.71400  21.28900  403.63188   -3.79612
   36.92  202.72833  21.21416  205.25030  21.34000  407.97863   -2.52197
   36.97  208.67953  21.18168  206.33270  21.08300  415.01223    2.34683
   37.02  204.16759  21.79330  204.93010  21.83800  409.09769   -0.76251
   37.07  211.25277  22.13105  210.12270  22.08600  421.37547    1.13007
   37.12  207.57032  21.12674  208.53410  21.17800  416.10442   -0.96378
   37.17  202.94855  21.03269  206.88900  21.22200  409.83755   -3.94045
   37.22  203.39603  21.25142  204.84920  21.32700  408.24523   -1.45317
   37.27  207.17109  20.73756  206.55810  20.71800  413.72919    0.61299
   37.32  207.05007  21.92166  210.43060  22.09000  417.48067   -3.38053
   37.37  207.23463  22.15328  209.44840  22.26600  416.68303   -2.21377
   37.42  206.83760  21.08242  203.02470  20.91600  409.86230    3.81290
   37.47  206.58840  21.13319  208.97440  21.25000  415.56280   -2.38600
   37.52  205.78647  21.89285  205.86670  21.90500  411.65317   -0.08023
   37.57  207.79665  21.58175  203.19510  21.37500  410.99175    4.60155
   37.62  208.50464  21.38657  203.21610  21.15000  411.72074    5.28854
   37.67  203.98503  21.12026  203.69630  21.11400  407.68133    0.28873
   37.72  207.98184  21.79817  206.26020  21.72500  414.24204    1.72164
   37.77  205.57701  21.55131  206.41230  21.59900  411.98931   -0.83529
   37.82  206.91708  21.58618  210.82790  21.77600  417.74498   -3.91082
   37.87  202.49138  21.12294  205.55970  21.27400  408.05108   -3.06833
   37.92  201.78632  21.33975  203.02500  21.40600  404.81132   -1.23868
   37.97  202.74973  21.18411  201.56520  21.13700  404.31493    1.18453
   38.02  205.14293  21.52064  204.12390  21.48100  409.26683    1.01903
   38.07  205.50348  21.11592  208.12930  21.24500  413.63278   -2.62582
   38.12  203.31222  21.96322  207.12230  22.15500  410.43452   -3.81008
   38.17  204.73759  21.35915  207.44540  21.49300  412.18299   -2.70781
   38.22  201.36185  21.20781  207.13580  21.48600  408.49765   -5.77395
   38.27  199.94957  20.92145  207.12980  21.26300  407.07937   -7.18023
   38.32  207.04152  21.78075  205.19600  21.70200  412.23752    1.84552
   38.37  204.15968  21.16472  207.85640  21.34300  412.01608   -3.69672
   38.42  204.77965  21.80041  201.13240  21.63500  405.91205    3.64725
   38.47  203.47303  21.30384  205.46820  21.40500  408.94123   -1.99517
   38.52  204.58415  21.45430  203.46070  21.41000  408.04485    1.12345
   38.57  201.49199  21.15973  206.43480  21.39800  407.92679   -4.94281
   38.62  202.53373  22.51927  200.60570  22.43200  403.13943    1.92803
   38.67  203.16127  21.69293  204.88860  21.78300  408.04987   -1.72733
   38.72  205.63657  20.98508  205.61030  20.99200  411.24687    0.02627
   38.77  204.48323  21.63668  207.55350  21.78900  412.03673   -3.07027
   38.82  201.89960  22.12365  203.18230  22.19500  405.08190   -1.28270
   38.87  202.10999  22.06820  207.09620  22.31800  409.20619   -4.98621
   38.92  205.42872  21.53199  210.34700  21.76900  415.77572   -4.91828
   38.97  205.72846  21.68349  204.17000  21.61800  409.89846    1.55846
   39.02  205.41207  21.23539  204.42440  21.19800  409.83647    0.98767
   39.07  205.36329  21.73352  200.27890  21.50000  405.64219    5.08439
   39.12  205.68013  21.36639  204.46520  21.31800  410.14533    1.21493
   39.17  203.17150  21.90821  204.86730  21.99800  408.03880   -1.69580
   39.22  201.55802  21.23636  206.99610  21.49900  408.55412   -5.43808
   39.27  209.71565  21.82801  198.97540  21.32900  408.69105   10.74025
   39.32  205.47231  21.48556  204.37810  21.44300  409.85041    1.09421
   39.37  204.68333  21.58333  203.08220  21.51600  407.76553    1.60113
   39.42  204.26223  21.06712  202.17300  20.97900  406.43523    2.08923
   39.47  200.74388  21.43849  205.39210  21.66800  406.13598   -4.64822
   39.52  201.32353  21.11671  205.10140  21.30100  406.42493   -3.77787
   39.57  207.47367  22.13444  206.20840  22.08300  413.68207    1.26527
   39.62  205.99032  21.18838  203.64460  21.08800  409.63492    2.34572
   39.67  199.54147  21.24635  201.99040  21.37000  401.53187   -2.44893
   39.72  203.95618  21.39321  205.03030  21.45200  408.98648   -1.07412
   39.77  197.66642  21.17507  206.28270  21.59100  403.94912   -8.61628
   39.82  202.82840  21.34558  202.52960  21.34000  405.35800    0.29880
   39.87  204.38642  21.57429  202.14310  21.47600  406.52952    2.24332
   39.92  206.46989  21.20575  203.00780  21.05300  409.47769    3.46209
   39.97  202.54749  21.46425  202.67990  21.47900  405.22739   -0.13241
   40.02  205.28829  21.27983  203.89060  21.22300  409.17889    1.39769
   40.07  199.69999  21.51284  210.38900  22.02900  410.08899  -10.68901
   40.12  204.45798  21.46242  207.66950  21.62100  412.12748   -3.21152
   40.17  200.75450  20.96995  205.46250  21.19600  406.21700   -4.70800
   40.22  201.15033  21.38607  205.66040  21.60700  406.81073   -4.51007
   40.27  203.26623  21.62789  201.16020  21.53500  404.42643    2.10603
   40.32  207.49825  21.20531  203.89910  21.04700  411.39735    3.59915
   40.37  200.24428  21.42602  203.99330  21.61300  404.23758   -3.74902
   40.42  202.82991  21.32775  201.62920  21.28000  404.45911    1.20071
   40.47  203.10843  21.22817  204.27160  21.29100  407.38003   -1.16317
   40.52  201.43297  21.36142  205.42210  21.55800  406.85507   -3.98913
   40.57  201.94745  21.31371  202.43570  21.34500  404.38315   -0.48825
   40.62  202.47787  21.21153  203.68200  21.27600  406.15987   -1.20413
   40.67  200.95292  21.35556  204.90970  21.55000  405.86262   -3.95678
   40.72  204.24299  21.21709  202.32630  21.13600  406.56929    1.91669
   40.77  200.86257  21.26855  202.05870  21.33400  402.92127   -1.19613
   40.82  203.95050  21.43105  205.21830  21.49800  409.16880   -1.26780
   40.87  204.57824  21.45088  204.71760  21.46500  409.29584   -0.13936
   40.92  200.74594  21.07324  204.48720  21.25600  405.23314   -3.74126
   40.97  204.03062  21.33947  207.76920  21.52200  411.79982   -3.73858
   41.02  200.70520  21.44668  201.97150  21.51500  402.67670   -1.26630
   41.07  201.31416  21.35513  203.89500  21.48500  405.20916   -2.58084
   41.12  206.76470  21.35235  198.12200  20.95700  404.88670    8.64270
   41.17  202.41379  20.91044  203.28180  20.95800  405.69559   -0.86801
   41.22  202.11444  21.53919  202.86030  21.58300  404.97474   -0.74586
   41.27  204.27172  21.61678  203.59250  21.59200  407.86422    0.67922
   41.32  202.96054  21.26587  202.89000  21.27000  405.85054    0.07054
   41.37  200.46719  20.85666  204.57780  21.05400  405.04499   -4.11061
   41.42  201.35639  21.38928  201.36080  21.39800  402.71719   -0.00441
   41.47  203.64024  21.24050  203.17020  21.22700  406.81044    0.47004
   41.52  203.58380  21.29257  203.73560  21.30700  407.31940   -0.15180
   41.57  205.30098  21.63761  205.49420  21.65600  410.79518   -0.19322
   41.62  204.18627  21.52713  207.19270  21.67700  411.37897   -3.00643
   41.67  207.27564  21.63397  206.32890  21.59800  413.60454    0.94674
   41.72  203.82993  21.49173  206.74000  21.63700  410.56993   -2.91007
   41.77  198.25668  21.07649  204.63820  21.38500  402.89488   -6.38152
   41.82  199.66252  21.50400  206.08180  21.81900  405.74432   -6.41928
   41.87  206.04792  21.67383  203.31200  21.55200  409.35992    2.73592
   41.92  207.81355  22.07659  204.89400  21.94600  412.70755    2.91955
   41.97  206.43489  21.74413  203.00020  21.59000  409.43509    3.43469
   42.02  205.02255  22.99056  210.25460  23.26000  415.27715   -5.23205
   42.07  205.30105  21.59137  207.29080  21.69200  412.59185   -1.98975
   42.12  203.23052  21.46613  206.76030  21.64000  409.99082   -3.52978
   42.17  204.85356  21.88962  209.35960  22.11200  414.21316   -4.50604
   42.22  202.03471  21.22377  204.89910  21.36600  406.93381   -2.86439
   42.27  204.86753  21.53753  211.00510  21.83100  415.87263   -6.13757
   42.32  207.37898  21.77671  212.47990  22.02300  419.85888   -5.10092
   42.37  201.48454  21.35109  208.97890  21.71100  410.46344   -7.49436
   42.42  209.51408  21.83276  211.99880  21.95600  421.51288   -2.48472
   42.47  206.15860  22.00892  211.22800  22.25800  417.38660   -5.06940
   42.52  209.89529  21.51186  214.77700  21.74300  424.67229   -4.88171
   42.57  209.02004  21.49182  213.18320  21.69100  422.20324   -4.16316
   42.62  202.70141  21.63423  215.52930  22.24400  418.23071  -12.82789
   42.67  210.28862  22.00535  211.69060  22.07900  421.97922   -1.40198
   42.72  208.71495  21.44820  213.98680  21.69700  422.70175   -5.27185
   42.77  211.10341  22.20481  218.52050  22.55900  429.62391   -7.41709
   42.82  211.28801  21.77706  213.27910  21.87700  424.56711   -1.99109
   42.87  210.21451  21.58115  213.91030  21.75900  424.12481   -3.69579
   42.92  212.65492  22.26394  217.75780  22.51000  430.41272   -5.10288
   42.97  206.19471  20.88709  214.78650  21.28000  420.98121   -8.59179
   43.02  210.00185  22.50719  212.29560  22.62500  422.29745   -2.29375
   43.07  204.87992  21.83120  214.35160  22.28500  419.23152   -9.47168
   43.12  214.27155  21.60082  213.56350  21.57800  427.83505    0.70805
   43.17  207.37699  21.72342  215.70010  22.11700  423.07709   -8.32311
   43.22  207.91145  21.66102  216.71990  22.07500  424.63135   -8.80845
   43.27  213.74577  21.87057  210.42530  21.72600  424.17107    3.32047
   43.32  209.59797  21.86270  216.57450  22.19300  426.17247   -6.97653
   43.37  206.25699  21.83915  215.14570  22.26400  421.40269   -8.88871
   43.42  207.53507  21.65242  212.23790  21.87800  419.77297   -4.70283
   43.47  204.30442  21.40609  216.07410  21.95700  420.37852  -11.76968
   43.52  203.66425  21.76949  213.50830  22.24200  417.17255   -9.84405
   43.57  205.72326  21.25592  214.55350  21.66800  420.27676   -8.83024
   43.62  205.24675  21.82266  208.68470  21.99400  413.93145   -3.43795
   43.67  210.32782  21.50744  209.59200  21.48300  419.91982    0.73582
   43.72  204.08395  21.75687  210.31570  22.06000  414.39965   -6.23175
   43.77  201.46395  21.09742  206.74990  21.35200  408.21385   -5.28595
   43.82  202.64965  21.23793  209.45290  21.56200  412.10255   -6.80325
   43.87  200.46885  20.98095  208.70550  21.37000  409.17435   -8.23665
   43.92  202.18274  21.51096  211.84390  21.97300  414.02664   -9.66116
   43.97  199.01593  20.94912  203.99230  21.19000  403.00823   -4.97637
   44.02  201.54906  21.35700  204.11600  21.48600  405.66506   -2.56694
   44.07  201.80884  21.04553  201.04720  21.01800  402.85604    0.76164
   44.12  203.04256  21.50593  205.31960  21.62100  408.36216   -2.27704
   44.17  199.86613  20.47727  203.69430  20.65900  403.56043   -3.82817
   44.22  201.67905  21.90164  198.80000  21.76900  400.47905    2.87905
   44.27  201.86162  21.70028  198.27700  21.53500  400.13862    3.58462
   44.32  201.18198  20.71309  203.48810  20.82700  404.67008   -2.30612
   44.37  199.31546  20.78410  201.07860  20.87400  400.39406   -1.76314
   44.42  198.24769  21.29338  200.82130  21.42500  399.06899   -2.57361
   44.47  202.01881  21.14071  200.30380  21.06800  402.32261    1.71501
   44.52  199.07387  21.33373  200.14090  21.39300  399.21477   -1.06703
   44.57  198.22371  20.95286  202.13380  21.14500  400.35751   -3.91009
   44.62  197.14054  21.27423  199.88930  21.41400  397.02984   -2.74876
   44.67  200.92067  20.56880  201.74770  20.61400  402.66837   -0.82703
   44.72  198.17949  21.82636  196.30800  21.74200  394.48749    1.87149
   44.77  198.30729  21.03265  197.83750  21.01800  396.14479    0.46979
   44.82  200.25743  21.54252  205.29160  21.79100  405.54903   -5.03417
   44.87  199.49684  21.19802  199.41550  21.20200  398.91234    0.08134
   44.92  201.20558  21.63174  198.72270  21.52000  399.92828    2.48288
   44.97  198.90087  20.84239  199.21410  20.86500  398.11497   -0.31323
   45.02  194.96249  21.50006  199.37080  21.72400  394.33329   -4.40831
   45.07  197.97206  21.40777  199.86610  21.50700  397.83816   -1.89404
   45.12  199.61432  21.57989  203.50300  21.77500  403.11732   -3.88868
   45.17  198.47278  21.07276  202.85480  21.28800  401.32758   -4.38202
   45.22  196.88187  23.31871  193.49000  23.14700  390.37187    3.39187
   45.27  201.55188  21.36730  201.42040  21.36900  402.97228    0.13148
   45.32  197.98690  21.09674  200.75970  21.23600  398.74660   -2.77280
   45.37  194.15856  21.36813  203.69560  21.83900  397.85416   -9.53704
   45.42  195.48829  20.88950  202.10940  21.21100  397.59769   -6.62111
   45.47  201.22987  21.87043  201.96770  21.91400  403.19757   -0.73783
   45.52  201.32828  20.88933  199.98960  20.83500  401.31788    1.33868
   45.57  194.13310  21.47287  201.45220  21.84000  395.58530   -7.31910
   45.62  200.14161  21.11669  202.60210  21.24100  402.74371   -2.46049
   45.67  199.39585  21.45257  203.44610  21.65500  402.84195   -4.05025
   45.72  194.31940  21.01538  200.97280  21.34300  395.29220   -6.65340
   45.77  200.08004  21.21819  202.17630  21.32600  402.25634   -2.09626
   45.82  200.55157  20.73025  204.20200  20.90600  404.75357   -3.65043
   45.87  200.03502  21.82484  204.57870  22.05400  404.61372   -4.54368
   45.92  201.53069  21.09539  203.42070  21.19100  404.95139   -1.89001
   45.97  204.61736  21.40554  200.87800  21.23800  405.49536    3.73936
   46.02  200.16717  21.11354  204.07320  21.30500  404.24037   -3.90603
   46.07  202.14990  21.36168  204.84670  21.49700  406.99660   -2.69680
   46.12  197.01610  20.69143  201.23010  20.89600  398.24620   -4.21400
   46.17  200.11676  21.40415  204.61390  21.62600  404.73066   -4.49714
   46.22  198.85629  20.95165  203.78860  21.19000  402.64489   -4.93231
   46.27  205.38789  21.53506  204.01120  21.47900  409.39909    1.37669
   46.32  201.14090  20.96412  206.65320  21.22700  407.79410   -5.51230
   46.37  203.52720  21.28473  207.19520  21.46300  410.72240   -3.66800
   46.42  200.63779  20.96397  201.16020  20.99600  401.79799   -0.52241
   46.47  201.54108  21.19081  203.39670  21.28600  404.93778   -1.85562
   46.52  201.32128  20.68433  202.62840  20.75300  403.94968   -1.30712
   46.57  205.36491  21.63340  204.26120  21.58900  409.62611    1.10371
   46.62  200.75894  21.15938  207.37170  21.47600  408.13064   -6.61276
   46.67  202.33298  21.06774  201.92770  21.05600  404.26068    0.40528
   46.72  206.50572  21.43709  208.34830  21.53100  414.85402   -1.84258
   46.77  203.73382  21.05767  203.01960  21.03300  406.75342    0.71422
   46.82  201.15270  20.74265  205.41010  20.94600  406.56280   -4.25740
   46.87  202.66110  21.23051  202.45000  21.22800  405.11110    0.21110
   46.92  202.83230  21.24897  204.80730  21.35000  407.63960   -1.97500
   46.97  199.33657  20.87827  208.40280  21.30600  407.73937   -9.06623
   47.02  199.43171  20.96520  201.42780  21.06700  400.85951   -1.99609
   47.07  204.40599  21.11383  204.33260  21.11800  408.73859    0.07339
   47.12  200.96797  20.90348  204.13840  21.05800  405.10637   -3.17043
   47.17  198.90727  21.06666  199.88510  21.12100  398.79237   -0.97783
   47.22  203.90339  21.14470  204.48580  21.17900  408.38919   -0.58241
   47.27  198.92277  20.75799  204.86570  21.04100  403.78847   -5.94293
   47.32  199.56733  20.99650  205.48820  21.28100  405.05553   -5.92087
