loop_
_pd_proc_2theta
_pd_proc_2theta_corrected
_pd_proc_intensity_plus_net
_pd_proc_intensity_minus_net
_pd_proc_intensity_bkg_calc
_pd_proc_intensity_plus
_pd_proc_intensity_plus_sigma
_pd_proc_intensity_minus
_pd_proc_intensity_minus_sigma
_pd_proc_excluded
    6.02     9.19       0.00       0.00   57847.31   29256.89139   264.24711   28345.26   260.63    True
    6.07     9.24       0.00       0.00   57836.80    28087.9781   254.29313   28030.85   254.15    True
    6.12     9.29       0.00       0.00   57717.83   28622.85939   258.40391   28706.05   258.84    True
    6.17     9.34       0.00       0.00   57676.07   28429.02359   252.41207   28651.86   253.39    True
    6.22     9.39       0.00       0.00   57619.06   28087.34988   258.22454   28152.94   258.59    True
    6.27     9.44       0.00       0.00   57474.60   28860.88259   255.82539   28238.68   253.45    True
    6.32     9.49       0.00       0.00   57341.57   28375.27928   258.89666   28395.71   259.08    True
    6.37     9.54       0.00       0.00   57177.84   28028.30673   251.59024   28512.43   253.62    True
    6.42     9.59       0.00       0.00   56971.47   27923.10345   256.92026   28417.58   259.04    True
    6.47     9.64       0.00       0.00   56749.30   28249.50283   248.20569   28241.36   248.27    True
    6.52     9.69       0.00       0.00   56501.03   27589.47835   262.23069   28227.33   265.03    True
    6.57     9.74       0.00       0.00   56242.61   27889.79377    257.0006   27881.37   257.06    True
    6.62     9.79       0.00       0.00   55967.88    27750.6754   256.54252   27895.14   257.23    True
    6.67     9.84       0.00       0.00   55676.60   27913.17926   250.03268   27879.04   249.99    True
    6.72     9.89       0.00       0.00   55530.76   27666.51431   260.08896   28272.59   262.72    True
    6.77     9.94       0.00       0.00   55457.56   27146.78714   256.88597   27478.38   258.38    True
    6.82     9.99       0.00       0.00   55287.11   27523.29356   259.31599   27490.21   259.27    True
    6.87    10.04       0.00       0.00   55152.47   27296.42957   253.34292   27504.68   254.30    True
    6.92    10.09       0.00       0.00   55039.16   27096.68368   246.29659   27680.14   248.74    True
    6.97    10.14       0.00       0.00   54916.06   26681.82547   253.77791   27251.85   256.28    True
    7.02    10.19       0.00       0.00   54766.81   26757.29281   246.29197   27384.43   248.95    True
    7.07    10.24       0.00       0.00   54622.20   27338.56466   255.08614   27220.67   254.68    True
    7.12    10.29       0.00       0.00   54502.82   27227.87871    246.0401   26834.65   244.54    True
    7.17    10.34       0.00       0.00   54367.21   26896.30843   252.95776   27038.21   253.65    True
    7.22    10.39       0.00       0.00   54246.81   27062.37087   244.97564   27188.57   245.58    True
    7.27    10.44       0.00       0.00   54138.67   26793.85246   252.90058   26912.83   253.49    True
    7.32    10.49       0.00       0.00   54020.78   26612.80274   243.43077   27097.05   245.49    True
    7.37    10.54       0.00       0.00   53909.76   27003.24564   251.10614   26988.84   251.15    True
    7.42    10.59       0.00       0.00   53800.19   27243.38218   249.05249   26696.86   246.89    True
    7.47    10.64       0.00       0.00   53722.29    26502.3488   248.72175   26783.27   250.00    True
    7.52    10.69       0.00       0.00   53612.97   26786.56542   246.13165   27308.67   248.35    True
    7.57    10.74       0.00       0.00   53515.15   26651.80731    250.5416   26632.52   250.55    True
    7.62    10.79       0.00       0.00   53419.59   26478.36213   239.20745   26577.51   239.70    True
    7.67    10.84       0.00       0.00   53343.63   26479.37876   249.40829   27150.83   252.31    True
    7.72    10.89       0.00       0.00   53261.37   26711.55412   243.75661   26660.41   243.64    True
    7.77    10.94       0.00       0.00   53167.40   26591.38926   250.29079   26903.35   251.69    True
    7.82    10.99       0.00       0.00   53082.12   26716.37845   243.28234   26411.48   242.13    True
    7.87    11.04       0.00       0.00   52998.65   26635.73293   248.59132   26521.80   248.21    True
