UBMAT
  0.0318940  0.0371272  0.0762666
  0.1236690 -0.0137293  0.1818557
  0.1959090  0.0026266 -0.1272238

calc sthovl
group_hkl ortho

  29283  -2  0  -20     273.69        2.64  46.03   137.71  -0.32   0.00  5.02A
  29001   2  0  -22     269.62        2.71  49.65  -140.31   0.04   0.00  5.02A
  29100   2  0   20     262.68        2.59  46.03   -42.29   0.32   0.00  5.02A
  29308  -2  0  -26     791.96        4.93  58.34   157.21  -0.36   0.00  5.02A
  29125   2  0   26     744.52        4.72  58.34   -22.79   0.36   0.00  5.02A
  28995   2  0  -19     421.27        3.18  44.36  -141.47   0.06   0.00  5.02A
  29295  -2  0  -23     647.01        4.25  51.62   147.20  -0.34   0.00  5.02A
  29011   2  0  -10     603.51        3.06  32.80  -135.33   0.12   0.00  5.02A
  29112   2  0   23     603.06        4.12  51.62   -32.80   0.34   0.00  5.02A
  29194  -2  0   10     590.10        3.02  32.80    44.67  -0.12   0.00  5.02A
  29178  -2  0   19     398.43        3.10  44.36    38.53  -0.06   0.00  5.02A
  29143   0  0   27     250.94        2.57  47.61    -0.19   0.18   0.00  5.02A
  28998   2  0  -16     250.80        2.30  39.83  -141.09   0.08   0.00  5.02A
  29184  -2  0   22     250.18        2.62  49.65    39.69  -0.04   0.00  5.02A
  29181  -2  0   16     240.08        2.26  39.83    38.91  -0.08   0.00  5.02A
  29007   2  0  -25     221.37        2.91  55.94  -137.51   0.02   0.00  5.02A
