calc chi_sq fr_calc fr sfr
calc chi_sq_per_n fr_calc fr sfr
min fr fr_calc
max fr fr_calc
print H K L fr sfr fr_calc qsq

  H    K    L       fr  fr_calc      sfr      qsq
  2    8   14  1.11980  1.13020  0.17500  0.99997
  2   16  -10  0.94940  1.04090  0.05040  0.99473
  0  -20   -6  0.96970  1.00300  0.04060  0.97970
  2  -14   12  1.03340  1.00780  0.04770  0.98645
  2   10   14  0.76460  0.99110  0.17600  0.99999
  0    0  -16  1.00390  0.93480  0.07320  0.99641
  0  -22    2  0.99880  0.99750  0.05740  0.98699
  0   -2  -16  0.88640  0.99490  0.43190  0.99531
  2   22    0  0.99210  0.97910  0.11820  0.99999
  2    0   16  0.77270  0.92780  0.20650  0.99900
