  2Theta(x)          dd      Delete          del         dd        I_sum(y)    I_diff(y2)
    9.47000  25347.02176  240.82443  25956.13000  243.49000  51303.15176   -609.10824
    9.52000  25181.45500  241.25531  25634.54000  243.28000  50815.99500   -453.08500
    9.57000  25543.70128  241.36887  25872.83000  242.85000  51416.53128   -329.12872
    9.62000  24730.55596  242.11189  25298.25000  244.67000  50028.80596   -567.69404
    9.67000  25287.99007  241.00783  25627.43000  242.54000  50915.42007   -339.43993
    9.72000  25855.53727  242.79521  25374.15000  240.86000  51229.68727    481.38727
    9.77000  25810.90573  240.53102  25617.87000  239.82000  51428.77573    193.03573
    9.82000  25396.87935  242.75702  25551.49000  243.50000  50948.36935   -154.61065
    9.87000  25085.40156  241.58192  25294.98000  242.57000  50380.38156   -209.57844
    9.92000  25881.14894  242.88136  25471.42000  241.24000  51352.56894    409.72894
    9.97000  25644.50417  251.13180  24863.06000  247.77000  50507.56417    781.44417
   10.02000  25632.67873  250.60373  25266.30000  249.09000  50898.97873    366.37873
   10.07000  25391.44910  239.68765  25532.30000  240.37000  50923.74910   -140.85090
   10.12000  25129.94834  239.18595  25222.38000  239.68000  50352.32834    -92.43166
   10.17000  25288.03740  240.61464  25718.95000  242.53000  51006.98740   -430.91260
   10.22000  25885.27031  239.39605  25270.78000  236.93000  51156.05031    614.49031
   10.27000  25741.03239  240.02746  25337.26000  238.43000  51078.29239    403.77239
   10.32000  25649.16040  231.01241  25292.13000  229.65000  50941.29040    357.03040
   10.42000  25551.77272  235.55042  25077.51000  233.68000  50629.28272    474.26272
   10.47000  24961.49175  238.62517  25362.99000  240.43000  50324.48175   -401.49825
   10.72000  24444.34505  243.98101  24869.05000  245.96000  49313.39505   -424.70495
   10.77000  25473.68253  250.70074  24661.55000  247.19000  50135.23253    812.13253
   10.82000  24618.69257  251.79568  24655.00000  252.05000  49273.69257    -36.30743
   10.87000  24867.59486  261.32512  24185.31000  258.20000  49052.90486    682.28486
   10.92000  24689.07552  218.63601  24653.50000  218.58000  49342.57552     35.57552
   10.97000  24236.44420  221.56681  24437.13000  222.46000  48673.57420   -200.68580
   11.02000  24434.86564  224.51101  24413.06000  224.51000  48847.92564     21.80564
   11.07000  24246.93139  224.99005  24189.93000  224.84000  48436.86139     57.00139
   11.12000  24638.03810  231.12962  24464.03000  230.48000  49102.06810    174.00810
   11.17000  24004.06792  229.05486  24388.68000  230.78000  48392.74792   -384.61208
   11.22000  24383.45047  227.74144  24543.83000  228.50000  48927.28047   -160.37953
   11.27000  24515.49327  225.22772  24327.62000  224.54000  48843.11327    187.87327
   11.32000  24655.63448  217.93764  24431.92000  217.13000  49087.55448    223.71448
   11.37000  24562.51670  207.16167  24760.22000  207.99000  49322.73670   -197.70330
   11.42000  24355.25340  370.48995  25342.50000  377.26000  49697.75340   -987.24660
   11.47000  24412.25825  342.24007  24473.65000  342.77000  48885.90825    -61.39175
   11.52000  24309.71448  236.19787  24221.16000  235.91000  48530.87448     88.55448
   11.57000  24084.55922  229.57617  23789.11000  228.41000  47873.66922    295.44922
   11.62000  24153.37155  215.53854  24046.88000  215.19000  48200.25155    106.49155
   11.67000  24235.63613  225.59222  24480.20000  226.69000  48715.83613   -244.56387
   11.72000  24147.28105  229.59054  23962.55000  228.89000  48109.83105    184.73105
   11.77000  24101.81437  228.26784  24189.28000  228.72000  48291.09437    -87.46563
   11.82000  23958.11911  231.61987  24673.74000  234.78000  48631.85911   -715.62089
   11.87000  23904.81477  230.44829  24117.96000  231.45000  48022.77477   -213.14523
   11.92000  24329.00028  235.20277  24545.46000  236.22000  48874.46028   -216.45972
   11.97000  23944.38848  230.91626  24151.79000  231.90000  48096.17848   -207.40152
   12.02000  24046.61992  229.46595  23789.61000  228.46000  47836.22992    257.00992
   12.07000  24018.14617  227.34560  23867.12000  226.79000  47885.26617    151.02617
   12.12000  23984.15676  241.04999  24089.94000  241.61000  48074.09676   -105.78324
   12.17000  24274.05485  229.39988  23992.69000  228.29000  48266.74485    281.36485
   12.22000  24056.40571  232.99866  23719.30000  231.62000  47775.70571    337.10571
   12.27000  23759.03783  227.41894  24131.96000  229.09000  47890.99783   -372.92217
   12.32000  23913.95125  237.62851  24110.43000  238.59000  48024.38125   -196.47875
   12.37000  23898.23541  232.84249  23975.36000  233.26000  47873.59541    -77.12459
   12.42000  24107.60181  234.72524  24238.88000  235.38000  48346.48181   -131.27819
   12.47000  24200.17164  230.88039  24311.55000  231.45000  48511.72164   -111.37836
   12.52000  23608.18294  231.83751  24311.97000  234.99000  47920.15294   -703.78706
   12.57000  24069.19579  231.99273  23820.07000  231.00000  47889.26579    249.12579
   12.62000  23374.36194  232.76854  23905.10000  235.20000  47279.46194   -530.73806
   12.67000  23621.97448  228.00478  23584.09000  227.92000  47206.06448     37.88448
   12.72000  23436.02595  230.05026  24025.67000  232.71000  47461.69595   -589.64405
   12.77000  23793.46630  233.66580  23967.69000  234.52000  47761.15630   -174.22370
   12.82000  23977.48206  238.42577  23975.23000  238.51000  47952.71206      2.25206
   12.87000  23850.51884  230.38394  24598.47000  233.68000  48448.98884   -747.95116
   12.92000  24122.64199  239.93402  23403.25000  236.79000  47525.89199    719.39199
   12.97000  23486.15664  226.00430  23794.52000  227.41000  47280.67664   -308.36336
   13.02000  24108.84573  239.44981  24161.24000  239.77000  48270.08573    -52.39427
   13.07000  23630.92849  229.13276  23865.32000  230.24000  47496.24849   -234.39151
   13.12000  23715.71835  235.30865  23956.66000  236.47000  47672.37835   -240.94165
   13.17000  23796.64438  241.72028  23447.93000  240.23000  47244.57438    348.71438
   13.22000  23384.86827  239.56652  24212.22000  243.41000  47597.08827   -827.35173
   13.27000  23957.66421  236.34958  23808.36000  235.78000  47766.02421    149.30421
   13.32000  24037.32364  232.70716  23837.26000  231.93000  47874.58364    200.06364
   13.37000  23284.40763  232.45247  23934.67000  235.42000  47219.07763   -650.26237
   13.42000  24375.88377  237.26279  23771.94000  234.71000  48147.82377    603.94377
   13.47000  24488.83495  243.88365  23881.97000  241.25000  48370.80495    606.86495
   13.52000  23835.56493  227.35571  23558.52000  226.26000  47394.08493    277.04493
   13.57000  23943.02611  234.57652  23542.98000  232.91000  47486.00611    400.04611
   13.62000  23802.71618  231.92271  23526.00000  230.80000  47328.71618    276.71618
   13.67000  23773.72971  234.95117  23799.97000  235.15000  47573.69971    -26.24029
   13.72000  23910.14481  229.96887  23482.39000  228.21000  47392.53481    427.75481
   13.77000  23769.98565  236.94578  23753.86000  236.96000  47523.84565     16.12565
   13.82000  23903.86978  227.96532  23725.00000  227.28000  47628.86978    178.86978
   13.87000  23460.40956  233.62207  23259.67000  232.81000  46720.07956    200.73956
   13.92000  23560.86952  228.19756  23540.22000  228.20000  47101.08952     20.64952
   13.97000  22923.88266  233.30746  23486.40000  235.94000  46410.28266   -562.51734
   14.02000  23757.24632  229.99107  23761.64000  230.10000  47518.88632     -4.39368
   14.07000  23534.77735  230.49738  23763.05000  231.58000  47297.82735   -228.27265
   14.12000  23750.14001  229.99134  23938.55000  230.89000  47688.69001   -188.40999
   14.17000  23738.18176  230.35912  23648.04000  230.05000  47386.22176     90.14176
   14.22000  23593.97113  230.21793  23368.94000  229.32000  46962.91113    225.03113
   14.27000  23153.06881  229.72735  23639.50000  231.96000  46792.56881   -486.43119
   14.32000  23703.61470  231.38842  23504.16000  230.60000  47207.77470    199.45470
   14.37000  23231.85456  229.09361  23318.77000  229.57000  46550.62456    -86.91544
   14.42000  23545.73403  226.44551  23425.55000  226.01000  46971.28403    120.18403
   14.47000  23675.68559  232.19798  23343.41000  230.82000  47019.09559    332.27559
