group_hkl orto

  27995   3  -1  1     128.59        0.76  44.55    22.69  -18.13   0.00    4.60A
  27996   1  -1  1      37.90        0.24  17.98    25.51  -18.17   0.00    4.60A
  27997   4  -1  0     366.29        1.29  63.52    35.89   -0.11   0.00    4.56A
  27998   4  -1  1     179.53        0.85  66.42    39.41  -18.11   0.00    4.60A
  27999   2  -2  0    1030.94        1.90  37.33    40.28   -0.34   0.00    4.60A
  28000   3  -2  0     215.53        1.05  51.01    42.70   -0.32   0.00    4.60A
  28001   2  -2  1     141.20        0.72  38.36    43.23  -18.35   0.00    4.59A
  28002   3  -2  1     111.17        0.74  52.75    45.58  -18.33   0.00    4.61A
  28003   1  -2  0      94.27        0.48  28.39    49.95   -0.36   0.00    4.59A
  28004   1  -2  1     189.90        0.67  29.10    53.44  -18.38   0.00    4.58A
  28005   0  -1  0       2.07        0.06  12.21    60.99   -0.19   0.00    4.55A
  28006   2  -3  0      48.70        0.53  50.26    64.59   -0.53   0.00    4.53A
  28007   2  -3  1     168.23        0.90  52.01    67.58  -18.55   0.00    4.52A
  28008   0  -1  1     154.81        0.40  12.41    68.14  -18.19   0.00    4.53A
  28009   3  -3  0      32.35        0.43  65.46    68.41   -0.51   0.00    4.52A
  28010   1  -3  0     456.00        1.38  42.12    71.97   -0.55   0.00    4.50A
  28011   3  -3  1     110.34        0.66  68.83    72.40  -18.53   0.00    4.51A
  28012   0  -2  0     390.96        0.91  25.03    73.81   -0.38   0.00    4.50A
  28013   1  -3  1     315.88        1.15  43.42    74.97  -18.57   0.00    4.50A
  28014   0  -2  1      16.20        0.18  25.65    77.71  -18.39   0.00    4.48A
  28015   0  -3  0       1.97        0.18  39.40    88.18   -0.57   0.00    4.45A
  28016   0  -3  1     178.08        0.83  40.60    91.27  -18.60   0.00    4.46A
  28017   1  -4  0     542.48        1.61  60.87    95.23   -0.74   0.00    4.45A
  28018   1  -4  1      80.26        0.61  63.68    98.88  -18.77   0.00    4.44A
  28019  -1  -2  0      87.13        0.47  28.42   104.39   -0.40   0.00    4.44A
  28020   0  -4  0    1104.72        2.31  57.81   106.59   -0.76   0.00    4.46A
  28021  -1  -2  1     181.70        0.66  29.21   108.02  -18.42   0.00    4.45A
  28022  -1  -3  0     452.75        1.38  42.16   109.85   -0.59   0.00    4.44A
  28023   0  -4  1     254.04        1.07  60.30   110.05  -18.80   0.00    4.46A
  28024  -1  -1  0     191.64        0.54  17.67   112.21   -0.21   0.00    4.44A
  28025  -1  -3  1     302.63        1.12  43.53   112.94  -18.62   0.00    4.45A
  28026  -1  -1  1      38.89        0.24  18.11   117.37  -18.22   0.00    4.46A
  28027   2   0  0     379.37        2.02  25.79   -15.51    0.04   0.00    4.68A
  28028  -1  -4  0     541.97        1.60  60.93   124.12   -0.78   0.00    4.49A
  28029  -1  -4  1      87.06        0.63  63.84   127.89  -18.82   0.00    4.45A
  28030  -2  -2  0     991.18        1.87  37.39   131.92   -0.42   0.00    4.42A
  28031  -2  -3  0      47.05        0.53  50.35   133.53   -0.61   0.00    4.45A
  28032  -2  -2  1     142.53        0.72  38.56   135.10  -18.44   0.00    4.44A
  28033  -2  -3  1     152.59        0.86  52.24   136.71  -18.64   0.00    4.44A
  28034  -2  -1  0     233.73        0.75  28.94   141.73   -0.23   0.00    4.44A
  28035  -2  -1  1     325.92        0.87  29.78   145.27  -18.24   0.00    4.43A
  28036  -1   0  0       7.89        0.11  12.56   151.27   -0.02   0.00    4.43A
  28037  -3  -2  0     207.51        1.02  51.09   156.86   -0.44   0.00    4.28A
  28038  -1   0  1     278.96        0.54  12.87   158.01  -18.02   0.00    4.43A
  28039  -3  -2  1     118.82        0.76  53.05   160.04  -18.46   0.00    4.43A
  28040  -3  -3  0      33.81        0.44  65.62   160.16   -0.63   0.00    4.39A
